Robbery, City
23511,New York
15863,Chicago
14353,Los Angeles
11371,Houston
10971,Philadelphia
7240,Detroit
6914,Dallas
5381,Las Vegas Metropolitan Police Department
5311,Memphis
4363,Phoenix
4288,Cleveland
4229,Baltimore
3858,San Francisco
3646,Columbus
3608,Milwaukee
3604,Washington
3534,Oakland
3249,Indianapolis
3207,Charlotte-Mecklenburg
3147,St. Louis
3028,Minneapolis
2959,Atlanta
2698,Boston
2425,Nashville
2339,Cincinnati
2321,San Antonio
2304,Jacksonville
2188,Sacramento
2164,San Diego
2111,Miami
2044,Kansas City8
1738,Louisville Metro
1722,Pittsburgh
1708,Buffalo
1675,Tucson
1667,Seattle
1553,Jersey City
1528,Orlando
1519,Stockton
1440,Long Beach
1429,Birmingham
1417,Fort Worth
1358,Austin
1332,Rochester
1297,Portland
1288,Newark
1282,Fresno
1280,Denver
1248,Toledo
1211,Tampa
1179,Oklahoma City
1171,Albuquerque
1049,Baton Rouge
1032,St. Petersburg
1030,San Jose
1022,Jackson
997,Tulsa
987,Richmond
977,Durham8
956,Honolulu
948,Norfolk
904,San Bernardino
901,Greensboro
899,Little Rock
890,Arlington
849,St. Paul
848,Omaha
832,Fort Lauderdale
814,Riverside
810,Dayton
808,Paterson
787,Santa Ana
782,Raleigh
773,Camden
761,New Orleans
758,Hartford
700,Grand Rapids
690,Savannah-Chatham Metropolitan
686,Montgomery
685,Mobile
684,Allentown
682,Springfield
680,Tacoma
678,Virginia Beach
676,Irvington
669,Winston-Salem
659,Bridgeport
632,Trenton
627,Flint
617,Huntsville
612,Colorado Springs
600,Aurora
586,Shreveport
584,Anaheim
584,North Las Vegas
582,Columbus
574,West Palm Beach
565,Wilmington
555,Rockford8
550,Miami Gardens
549,Bakersfield
544,North Charleston
538,Knoxville
536,Elizabeth
534,Compton
534,Syracuse
532,Chattanooga
523,Reno
520,Wichita
510,Fayetteville
508,Mesa
507,Salt Lake City
505,Lexington8
504,Richmond
503,El Paso8
498,Yonkers
486,Inglewood
479,Moreno Valley
473,Newport News
468,Corpus Christi
466,Glendale
465,Anchorage
465,Reading
464,Pomona
462,Modesto
461,Harrisburg
459,Canton
452,Tallahassee
441,Pompano Beach
439,Kansas City
437,Homestead
434,Madison
432,Lancaster
432,Miami Beach
430,Vallejo
430,South Bend
426,Tempe
423,Hayward
418,Ontario
418,Oxnard
414,Berkeley
409,Wilmington
404,Fort Wayne9
401,Amarillo
398,Mount Vernon
392,Spokane
388,Worcester
388,Albany
386,Peoria
384,Hollywood
383,Salinas
379,Providence
375,Columbia
374,Hialeah
374,Des Moines8
371,East Orange
367,Lubbock
361,Lake Worth
358,Macon
358,Youngstown
356,Springfield
355,Atlantic City
351,Chula Vista
346,Huntington Park
344,Beaumont
341,Palmdale
336,Gary
336,Portsmouth
327,Fort Myers
310,Topeka
309,San Leandro
309,Schenectady
309,Springfield
302,Daytona Beach
299,Rialto
292,North Miami
290,Gardena
285,Antioch
283,New Bedford
278,Chesapeake
276,Pontiac
275,Erie
273,Passaic
271,South Gate
271,Saginaw
269,Lynn
269,High Point
269,Hampton
268,Carson
266,Brockton
266,Laredo
265,Hawthorne
264,Irving
262,Lansing
260,Plainfield
258,Lynwood
257,Orange
257,Waco
256,Fremont
256,Santa Monica
254,Fontana
254,Riviera Beach
252,Springfield
250,Gainesville
249,Downey
249,Hammond
248,Concord
247,Garden Grove
247,Pasadena
246,Killeen
245,Oceanside
245,Charleston
245,Racine
244,Lancaster
243,Albany
241,Fairfield
241,Warren
241,Chester
240,North Little Rock
240,Norwalk
240,Greenville
240,Everett
239,Norristown
238,Kalamazoo
237,Henderson
236,Chandler
236,Bellflower
235,Escondido
235,Marietta
231,Fort Pierce
231,Lafayette
231,Annapolis
231,Upper Darby Township
230,Elkhart
225,Rocky Mount
224,Kent
223,Garland
221,Tuscaloosa
220,Lakewood
220,Gastonia
220,Roanoke
219,Victorville
217,San Pablo
216,Waterbury
215,Union City
214,Union City
213,Visalia
213,Salisbury
213,Lowell
211,National City
211,Melbourne
208,Cambridge
207,New Brunswick
206,Asheville
206,Alexandria
203,Pine Bluff
203,Torrance
203,East Point
203,Myrtle Beach
202,Lakeland
201,Niagara Falls
200,Bessemer
200,West Covina
200,Clearwater
196,Sarasota
195,Gadsden
195,Lawrence
195,Clarksville
194,New Britain
194,Spartanburg
193,Asbury Park
191,Joliet
189,Dothan
189,Hamilton
189,Jackson
187,El Monte
185,Evansville
185,Alexandria
183,Boynton Beach
182,Opa Locka
181,Hempstead Village
180,Oakland Park
180,Huntington
179,Ocala
179,Chelsea
179,Murfreesboro
